action,proto,source,src_port,direction,destination,dst_port,msg,options,options_signature
alert,tcp,$HOME_NET,2589,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR - Dagger_1.4.0""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['""2|00 00 00 06 00 00 00|Drives|24 00|""', 'depth 16'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,7597,"""MALWARE-BACKDOOR QAZ Worm Client Login access""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""qazwsx.hsq""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,12345:12346,"""MALWARE-BACKDOOR netbus getinfo""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""GetInfo|0D|""'])]"
alert,tcp,$HOME_NET,20034,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR NetBus Pro 2.0 connection established""","['flow', 'flowbits', 'content', 'content']","[('flow', ['to_client', 'established']), ('flowbits', ['isset', 'backdoor.netbus_2.connect']), ('content', ['""BN|10 00 02 00|""', 'depth 6']), ('content', ['""|05 00|""', 'depth 2', 'offset 8'])]"
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR Infector.1.x""","['flow', 'content']","[('flow', ['established', 'to_client']), ('content', ['""WHATISIT""', 'depth 9'])]"
alert,tcp,$HOME_NET,666,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR SatansBackdoor.2.0.Beta""","['flow', 'content', 'content']","[('flow', ['to_client', 'established']), ('content', ['""Remote|3A| ""', 'depth 11', 'nocase']), ('content', ['""You are connected to me.|0D 0A|Remote|3A| Ready for commands""', 'distance 0', 'nocase'])]"
alert,tcp,$HOME_NET,6789,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR Doly 2.0 access""","['flow', 'content']","[('flow', ['established', 'to_client']), ('content', ['""Wtzup Use""', 'depth 32'])]"
alert,tcp,$EXTERNAL_NET,1000:1300,unidirectional,$HOME_NET,146,"""MALWARE-BACKDOOR Infector 1.6 Client to Server Connection Request""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""FC ""'])]"
alert,tcp,$HOME_NET,31785,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR HackAttack 1.20 Connect""","['flow', 'content']","[('flow', ['established', 'to_client']), ('content', ['""host""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,21,"""PROTOCOL-FTP ADMw0rm ftp login attempt""","['flow', 'content', 'content', 'pcre', 'service']","[('flow', ['to_server', 'established']), ('content', ['""USER""', 'nocase']), ('content', ['""w0rm""', 'distance 1', 'nocase']), ('pcre', ['""/^USER\\s+w0rm/smi""']), ('service', ['ftp'])]"
alert,tcp,$HOME_NET,30100:30102,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR NetSphere access""","['flow', 'content']","[('flow', ['established', 'to_client']), ('content', ['""NetSphere""'])]"
alert,tcp,$HOME_NET,6969,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR GateCrasher""","['flow', 'content', 'content', 'content', 'pcre']","[('flow', ['established', 'to_client']), ('content', ['""GateCrasher""', 'depth 11', 'nocase']), ('content', ['""Server""', 'distance 0', 'nocase']), ('content', ['""On-Line...""', 'distance 0', 'nocase']), ('pcre', ['""/^GateCrasher\\s+v\\d+\\x2E\\d+\\x2C\\s+Server\\s+On-Line\\x2E\\x2E\\x2E/smi""'])]"
alert,tcp,$HOME_NET,5401:5402,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR BackConstruction 2.1 Connection""","['flow', 'content']","[('flow', ['established', 'to_client']), ('content', ['""c|3A 5C|""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,666,"""MALWARE-BACKDOOR BackConstruction 2.1 Client FTP Open Request""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""FTPON""'])]"
alert,tcp,$HOME_NET,666,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR BackConstruction 2.1 Server FTP Open Reply""","['flow', 'content']","[('flow', ['to_client', 'established']), ('content', ['""FTP Port open""'])]"
alert,udp,$EXTERNAL_NET,3344,unidirectional,$HOME_NET,3345,"""MALWARE-BACKDOOR Matrix 2.0 Client connect""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""activate""'])]"
alert,udp,$EXTERNAL_NET,3345,unidirectional,$HOME_NET,3344,"""MALWARE-BACKDOOR Matrix 2.0 Server access""","['flow', 'content']","[('flow', ['to_server']), ('content', ['""logged in""'])]"
alert,tcp,$HOME_NET,5714,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR WinCrash 1.0 Server Active""","['flow', 'flags', 'content']","[('flow', ['stateless']), ('flags', ['SA', '12']), ('content', ['""|B4 B4|""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,79,"""MALWARE-BACKDOOR CDK""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""ypi0ca""', 'depth 15', 'nocase'])]"
alert,udp,$HOME_NET,2140,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR DeepThroat 3.1 Server Response""","['flow', 'content']","[('flow', ['to_client']), ('content', ['""Ahhhh My Mouth Is Open""'])]"
alert,tcp,$HOME_NET,555,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR PhaseZero Server Active on Network""","['flow', 'content']","[('flow', ['established', 'to_client']), ('content', ['""phAse zero server""', 'depth 17', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR w00w00 attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""w00w00""'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""backdoor""', 'nocase'])]"
alert,tcp,$EXTERNAL_NET,any,unidirectional,$TELNET_SERVERS,23,"""MALWARE-BACKDOOR MISC r00t attempt""","['flow', 'content']","[('flow', ['to_server', 'established']), ('content', ['""r00t""'])]"
