action,proto,source,src_port,direction,destination,dst_port,msg
alert,tcp,$SQL_SERVERS,1433,unidirectional,$EXTERNAL_NET,any,"""SQL sa login failed"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""FILE-IDENTIFY RealNetworks Realplayer .ram playlist file download request"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""FILE-IDENTIFY RealNetworks Realplayer .rmp playlist file download request"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""FILE-IDENTIFY RealNetworks Realplayer .rt playlist file download request"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""FILE-IDENTIFY RealNetworks Realplayer .rp playlist file download request"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""FILE-IDENTIFY Microsoft emf file download request"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""FILE-IDENTIFY Microsoft Windows Audio wmf file download request"""
alert,tcp,$HOME_NET,5880,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR Y3KRAT 1.5 Connect"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,5880,"""MALWARE-BACKDOOR Y3KRAT 1.5 Connect Client Response"""
alert,tcp,$HOME_NET,5880,unidirectional,$EXTERNAL_NET,any,"""MALWARE-BACKDOOR Y3KRAT 1.5 Connection confirmation"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,139,"""NETBIOS SMB Trans2 QUERY_FILE_INFO attempt"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,139,"""NETBIOS SMB Trans2 QUERY_FILE_INFO andx attempt"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,445,"""NETBIOS SMB-DS Trans2 QUERY_FILE_INFO attempt"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,445,"""NETBIOS SMB-DS Trans2 QUERY_FILE_INFO andx attempt"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,139,"""NETBIOS SMB Trans2 FIND_FIRST2 attempt"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,139,"""NETBIOS SMB Trans2 FIND_FIRST2 andx attempt"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,445,"""NETBIOS SMB-DS Trans2 FIND_FIRST2 attempt"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,445,"""NETBIOS SMB-DS Trans2 FIND_FIRST2 andx attempt"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,443,"""MALWARE-CNC Win.Trojan.Hydraq variant outbound connection"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""BLACKLIST URI request for known malicious URI - /tongji.js"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,12080,"""MALWARE-CNC Win.Trojan.Derusbi.A variant outbound connection"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""MALWARE-CNC Win.Trojan.Injector variant outbound connection"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""MALWARE-CNC Win.Trojan.Betad variant outbound connection"""
alert,tcp,$EXTERNAL_NET,21,unidirectional,$HOME_NET,any,"""BLACKLIST known malicious FTP login banner - 0wns j0"""
alert,tcp,$EXTERNAL_NET,21,unidirectional,$HOME_NET,any,"""BLACKLIST known malicious FTP quit banner - Goodbye happy r00ting"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,$HTTP_PORTS,"""BLACKLIST User-Agent ASafaWeb Scan"""
alert,tcp,$EXTERNAL_NET,any,unidirectional,$HOME_NET,$HTTP_PORTS,"""BLACKLIST User-Agent known malicious user-agent string core-project"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""MALWARE-CNC Win.Trojan.Bredolab variant outbound connection"""
alert,tcp,$EXTERNAL_NET,$HTTP_PORTS,unidirectional,$HOME_NET,any,"""MALWARE-OTHER TDS Sutra - redirect received"""
alert,tcp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,$HTTP_PORTS,"""MALWARE-OTHER TDS Sutra - request hi.cgi"""
alert,tcp,$EXTERNAL_NET,$HTTP_PORTS,unidirectional,$HOME_NET,any,"""MALWARE-OTHER TDS Sutra - redirect received"""
alert,tcp,$EXTERNAL_NET,$HTTP_PORTS,unidirectional,$HOME_NET,any,"""MALWARE-OTHER Alureon - Malicious IFRAME load attempt"""
alert,udp,$HOME_NET,any,unidirectional,$EXTERNAL_NET,53,"""MALWARE-CNC Win.Trojan.ZeroAccess outbound connection"""
